NO,RGN_SORT,ENG_CLSF,USE_CLSF,YR_2019,YR_2018,YR_2017,YR_2016,YR_2015,UNIT
183,인천,연료전지,사업용,"561,841 ","206,838 ","117,627 ","112,175 ","87,010 ",MWh
184,인천,연료전지,자가용,"1,205 ",949 ,864 ,788 ,722 ,MWh
185,인천,IGCC,사업용,-,-,-,-,-,MWh
186,광주,신재생에너지 총발전량,사업용,"211,505 ","158,861 ","131,142 ","100,902 ","86,802 ",MWh
187,광주,신재생에너지 총발전량,자가용,"31,981 ","28,199 ","25,589 ","29,624 ","30,062 ",MWh
188,광주,태양광,사업용,"195,597 ","142,049 ","110,191 ","80,588 ","69,023 ",MWh
189,광주,태양광,자가용,"29,374 ","25,808 ","23,200 ","18,666 ","16,645 ",MWh
190,광주,풍력,사업용,-,-,-,-,-,MWh
191,광주,풍력,자가용,2 ,2 ,2 ,2 ,2 ,MWh
192,광주,수력,사업용,"7,105 ","7,931 ","9,092 ","8,452 ","6,067 ",MWh
193,광주,수력,자가용,-,-,-,-,-,MWh
194,광주,해양,사업용,-,-,-,-,-,MWh
195,광주,바이오가스,사업용,-,-,-,-,80 ,MWh
196,광주,바이오가스,자가용,-,-,-,-,-,MWh
197,광주,매립지가스,사업용,"2,303 ","2,901 ","4,545 ","6,180 ","6,056 ",MWh
198,광주,매립지가스,자가용,-,-,-,-,-,MWh
199,광주,우드칩,사업용,-,-,-,-,-,MWh
200,광주,우드칩,자가용,-,-,-,-,-,MWh
201,광주,목재펠릿,사업용,-,-,-,-,-,MWh
202,광주,목재펠릿,자가용,-,-,-,-,-,MWh
203,광주,폐목재,사업용,-,-,-,-,-,MWh
204,광주,폐목재,자가용,-,-,-,-,-,MWh
205,광주,흑액,자가용,-,-,-,-,-,MWh
206,광주,하수슬러지고형연료,사업용,-,-,-,-,-,MWh
207,광주,Bio-SRF,사업용,-,-,-,-,-,MWh
208,광주,Bio-SRF,자가용,-,-,-,-,-,MWh
209,광주,바이오중유,사업용,-,-,-,-,-,MWh
210,광주,폐가스,사업용,-,-,-,-,-,MWh
211,광주,폐가스,자가용,-,-,-,-,-,MWh
212,광주,산업폐기물,사업용,"6,499 ","5,980 ","7,314 ","5,681 ",-,MWh
213,광주,산업폐기물,자가용,-,-,-,-,-,MWh
214,광주,생활폐기물,사업용,-,-,-,-,"5,576 ",MWh
215,광주,생활폐기물,자가용,-,-,-,"8,580 ","11,144 ",MWh
216,광주,SRF,사업용,-,-,-,-,-,MWh
217,광주,SRF,자가용,-,-,-,-,-,MWh
218,광주,시멘트킬른보조연료,자가용,-,-,-,-,-,MWh
219,광주,정제연료유,사업용,-,-,-,-,-,MWh
220,광주,연료전지,사업용,-,-,-,-,-,MWh
221,광주,연료전지,자가용,"2,606 ","2,389 ","2,388 ","2,376 ","2,271 ",MWh
222,광주,IGCC,사업용,-,-,-,-,-,MWh
223,대전,신재생에너지 총발전량,사업용,"34,857 ","26,893 ","20,733 ","16,934 ","13,843 ",MWh
224,대전,신재생에너지 총발전량,자가용,"33,775 ","31,094 ","23,703 ","18,117 ","15,966 ",MWh
225,대전,태양광,사업용,"31,915 ","26,893 ","20,691 ","16,864 ","13,767 ",MWh
226,대전,태양광,자가용,"30,910 ","25,650 ","22,376 ","17,122 ","14,837 ",MWh
227,대전,풍력,사업용,-,-,-,-,-,MWh
228,대전,풍력,자가용,377 ,413 ,400 ,372 ,374 ,MWh
229,대전,수력,사업용,-,-,-,-,-,MWh
230,대전,수력,자가용,245 ,342 ,553 ,340 ,553 ,MWh
231,대전,해양,사업용,-,-,-,-,-,MWh
232,대전,바이오가스,사업용,-,-,-,-,-,MWh
233,대전,바이오가스,자가용,-,-,-,-,-,MWh
234,대전,매립지가스,사업용,-,-,43 ,70 ,76 ,MWh
235,대전,매립지가스,자가용,-,-,-,-,-,MWh
236,대전,우드칩,사업용,-,-,-,-,-,MWh
237,대전,우드칩,자가용,-,-,-,-,-,MWh
238,대전,목재펠릿,사업용,-,-,-,-,-,MWh
239,대전,목재펠릿,자가용,-,-,-,-,-,MWh
240,대전,폐목재,사업용,-,-,-,-,-,MWh
241,대전,폐목재,자가용,-,-,-,-,-,MWh
242,대전,흑액,자가용,-,-,-,-,-,MWh
243,대전,하수슬러지고형연료,사업용,-,-,-,-,-,MWh
244,대전,Bio-SRF,사업용,-,-,-,-,-,MWh
245,대전,Bio-SRF,자가용,-,-,-,-,-,MWh
246,대전,바이오중유,사업용,-,-,-,-,-,MWh
247,대전,폐가스,사업용,-,-,-,-,-,MWh
248,대전,폐가스,자가용,-,-,-,-,-,MWh
249,대전,산업폐기물,사업용,-,-,-,-,-,MWh
250,대전,산업폐기물,자가용,-,-,-,-,-,MWh
251,대전,생활폐기물,사업용,-,-,-,-,-,MWh
252,대전,생활폐기물,자가용,-,-,-,-,-,MWh
253,대전,SRF,사업용,-,-,-,-,-,MWh
254,대전,SRF,자가용,-,"4,272 ",-,-,-,MWh
255,대전,시멘트킬른보조연료,자가용,-,-,-,-,-,MWh
