구,행정동,사업체수,종사자수,평균종사자,사업체밀도,종사자밀도,인구밀도,종사자밀도비
영등포구,여의도동,"8,132","160,633",19.75,968,"19,123","4,119",464.28
영등포구,당산1동,"3,107","19,234",6.19,"4,143","25,645","28,699",89.36
영등포구,당산2동,"2,289","22,947",10.02,"1,477","14,805","23,435",63.17
영등포구,양평1동,"3,068","24,084",7.85,"3,486","27,368","20,753",131.87
영등포구,양평2동,"2,182","19,921",9.13,727,"6,640","7,601",87.37
영등포구,신길1동,"1,091","5,280",4.84,"1,653","8,000","29,924",26.73
영등포구,신길3동,"1,369","2,905",2.12,"2,633","5,587","36,013",15.51
영등포구,신길4동,433,"1,461",3.37,"1,237","4,174","28,529",14.63
영등포구,신길5동,526,"2,563",4.87,"1,119","5,453","22,702",24.02
영등포구,신길6동,"1,228","4,904",3.99,"1,806","7,212","28,579",25.23
영등포구,신길7동,620,"2,932",4.73,969,"4,581","26,680",17.17
영등포구,대림1동,"1,064","4,517",4.25,"2,171","9,218","33,331",27.66
영등포구,대림2동,"1,378","4,520",3.28,"2,505","8,218","38,855",21.15
영등포구,대림3동,"2,262","10,193",4.51,"2,381","10,729","30,145",35.59
영등포구,영등포본동,"1,410","5,361",3.8,"1,382","5,256","24,326",21.61
영등포구,영등포동,"5,883","34,391",5.85,"4,669","27,294","21,560",126.6
영등포구,도림동,"1,021","2,975",2.91,"1,147","3,343","24,216",13.8
영등포구,문래동,"5,307","44,657",8.41,"3,562","29,971","21,452",139.71
동작구,소계,"19,793","106,159",5.36,"1,211","6,493","25,010",25.96
동작구,노량진2동,"1,706","7,779",4.56,"2,666","12,155","21,545",56.41
동작구,상도1동,"1,765","8,821",5,"1,169","5,842","31,889",18.32
동작구,상도2동,"1,398","5,299",3.79,"1,427","5,407","29,867",18.1
동작구,상도3동,"1,011","3,477",3.44,"1,685","5,795","43,402",13.35
동작구,상도4동,"1,008","3,105",3.08,"1,344","4,140","39,857",10.39
동작구,사당1동,"1,790","9,815",5.48,"2,266","12,424","30,413",40.85
동작구,사당3동,936,"4,032",4.31,"1,017","4,383","28,298",15.49
동작구,사당4동,659,"1,953",2.96,"1,734","5,139","39,266",13.09
동작구,사당5동,519,"1,646",3.17,911,"2,888","22,607",12.77
동작구,대방동,"1,693","11,691",6.91,"1,092","7,543","25,921",29.1
동작구,신대방1동,"1,035","4,210",4.07,"1,669","6,790","42,902",15.83
동작구,신대방2동,"1,227","19,081",15.55,"1,191","18,525","20,116",92.09
동작구,흑석동,"1,557","10,324",6.63,927,"6,145","21,161",29.04
동작구,노량진1동,"1,856","8,214",4.43,"1,175","5,199","20,609",25.22
동작구,사당2동,"1,633","6,712",4.11,594,"2,441","10,287",23.73
관악구,소계,"25,505","115,329",4.52,863,"3,900","17,495",22.29
관악구,보라매동,"1,367","6,557",4.8,"1,799","8,628","34,863",24.75
관악구,청림동,451,"1,385",3.07,"1,503","4,617","54,287",8.5
관악구,행운동,"1,372","6,845",4.99,"1,906","9,507","41,751",22.77
관악구,낙성대동,"1,296","7,867",6.07,571,"3,466","7,763",44.64
관악구,중앙동,965,"5,516",5.72,"2,474","14,144","40,756",34.7
관악구,인헌동,"1,053","3,578",3.4,975,"3,313","25,081",13.21
관악구,남현동,872,"4,957",5.68,267,"1,516","5,804",26.12
관악구,서원동,"1,279","7,459",5.83,"1,968","11,475","37,028",30.99
관악구,신원동,814,"2,356",2.89,"1,480","4,284","35,895",11.93
관악구,서림동,"1,115","3,245",2.91,"1,126","3,278","24,585",13.33
관악구,신사동,"1,359","4,356",3.21,"2,123","6,806","40,563",16.78
관악구,신림동,"1,687","6,638",3.93,"3,124","12,293","41,713",29.47
관악구,난향동,397,"1,886",4.75,496,"2,358","20,493",11.5
관악구,조원동,"2,150","7,116",3.31,"3,209","10,621","29,222",36.35
관악구,대학동,"1,636","15,017",9.18,197,"1,809","2,947",61.4
관악구,은천동,"1,562","6,658",4.26,"2,003","8,536","45,304",18.84
