구,행정동,한식 음식점업,용달 및 개별 화물 자동차 운송업,부동산 중개 및 대리업,의복소매업,생맥주 전문점 및 기타 주점업,두발미용업,슈퍼마켓 및 기타 음·식료품 위주 종합 소매업,김밥 및 기타 간이 음식점 및 간이음식 포장 판매업,커피 전문점 및 기타 비알콜 음료점업,가정용 세탁업,노래연습장 운영업,체인화 편의점,치킨전문점,자동차 전문 수리업,채소 과실 및 뿌리작물 소매업,육류소매업,중식음식점업,당구장 운영업,제과점업,컴퓨터 게임방 운영업
강동구,명일1동,110,82,59,91,38,74,17,44,51,13,23,15,17,8,28,13,9,10,19,5
강동구,명일2동,46,14,37,34,5,29,11,29,26,9,7,11,6,4,1,4,1,5,18,9
강동구,고덕1동,35,67,59,9,12,26,9,12,15,11,4,7,7,5,4,3,3,2,10,1
강동구,고덕2동,40,84,141,5,7,19,12,4,9,6,5,4,8,9,2,5,3,3,3,1
강동구,암사2동,55,75,38,14,10,27,8,7,17,11,6,8,7,4,-,3,5,3,6,4
강동구,암사3동,18,50,24,12,4,24,9,7,11,6,-,4,2,5,2,7,-,-,5,-
강동구,천호1동,87,155,51,39,30,68,21,21,25,24,7,22,15,10,7,8,6,5,7,5
강동구,천호3동,117,108,78,93,59,59,26,30,37,22,13,20,21,7,7,10,7,8,11,12
강동구,성내1동,125,71,48,16,34,31,14,26,62,16,13,18,9,18,3,4,11,10,10,1
강동구,성내2동,130,92,87,21,51,75,17,28,43,20,24,23,21,14,16,12,10,11,23,7
강동구,성내3동,201,83,104,49,63,83,12,42,61,20,30,21,20,18,22,17,15,18,23,12
강동구,둔촌1동,-,-,-,-,-,-,2,-,-,-,-,2,-,-,-,-,-,-,-,-
강동구,둔촌2동,100,118,61,20,26,62,12,21,37,19,15,17,10,14,3,11,7,6,7,6
강동구,암사1동,131,197,67,35,49,82,25,31,30,25,26,24,22,14,18,17,9,9,17,8
강동구,천호2동,261,177,97,377,97,83,42,43,74,30,33,39,15,22,14,16,19,11,20,6
강동구,길동,271,254,146,55,129,121,30,56,74,35,42,51,24,30,32,23,19,18,20,11
