animals,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 
A2900,HD,TR	: 	: 	: 	: 	2923 	2751 	0 	2561 	2558 	5204 	: 
A2900,HD,UK	: 	: 	: 	122756 	119729 	107771 	116505 	114082 	124185 	115740 	122815 
A3100,HD,AT	96483 	84171 	83047 	74603 	74594 	73302 	62672 	78246 	68031 	70935 	69475 
A3100,HD,BE	: 	38033 	32336 	17081 	17399 	17771 	11485 	10274 	9532 	11350 	10371 
A3100,HD,BG	0 	0 	216 	91 	24 	276 	92 	37 	0 	0 	0 
A3100,HD,CH	37740 	36285 	35668 	38955 	38169 	34551 	29184 	27424 	29112 	26613 	24200 
A3100,HD,CY	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A3100,HD,CZ	: 	2058 	2193 	2707 	2867 	2101 	1942 	1761 	1994 	1860 	1586 
A3100,HD,DE	172600 e	191955 e	212455 	182653 	185401 	193338 	196142 	190471 	195300 	193900 	178015 
A3100,HD,DK	: 	484443 	455549 	490924 	488886 	374963 	283118 	260510 	215581 	239453 	232051 
A3100,HD,EE	749 	705 	778 	683 	458 	571 	656 	861 	873 	1141 	871 
A3100,HD,EL	: 	5588 	5075 	4994 	4746 	4434 	4710 	4203 	4664 	4797 	6292 
A3100,HD,ES	: 	42713 	37846 	32343 	20196 	9938 	10311 	10741 	6790 	7795 	7600 
A3100,HD,EU	: 	: 	: 	1504824 p	1360951 	1202777 	1031261 	979354 	913207 	923114 	: 
A3100,HD,EU27_2020	: 	: 	: 	1470865 p	1323511 	1163677 	993610 	949388 	884892 	892949 	: 
A3100,HD,EU28	: 	: 	: 	1504824 p	1360951 	1202777 	1031261 	979354 	913207 	923114 	: 
A3100,HD,FI	: 	4842 	4891 	5156 	4857 	5074 	5456 	6131 	5656 	5442 	1889 
A3100,HD,FR	: 	492282 e	439569 e	437950 e	317925 	282286 	241470 	219812 	212854 	201201 	184086 
A3100,HD,HR	: 	468 	420 	2873 	1887 	1468 	1083 	1114 	961 	1122 	1361 
A3100,HD,HU	: 	4446 	3499 	5486 	4459 	5333 	4776 	4023 	5340 	4880 	4498 
A3100,HD,IE	: 	720 	599 	518 	642 	708 	572 	443 	479 	489 	895 
A3100,HD,IS	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 	: 
A3100,HD,IT	: 	58535 	58263 	51765 p	59623 	61242 	56567 	49909 	49900 	43318 	42872 
A3100,HD,LT	: 	175 	172 	131 	142 	112 	180 	189 	256 	377 	440 
A3100,HD,LU	: 	780 	1109 	1026 	895 	860 	830 	908 	977 	926 	1014 
A3100,HD,LV	: 	1637 	1795 	1925 	1845 	2571 	2870 	2838 	4007 	4804 	4606 
A3100,HD,ME	0 	0 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A3100,HD,MK	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	: 
A3100,HD,MT	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A3100,HD,NL	: 	103184 	102112 	106458 	93210 	87542 	70523 	69102 	68914 	63588 	60460 
A3100,HD,NO	: 	2985 	2778 	2820 	2924 	3474 	2055 	1543 	2631 	1931 	2313 
A3100,HD,PL	: 	5589 	3253 	4189 	3221 	3893 	4449 	6309 	7958 	9771 	16044 
A3100,HD,PT	: 	2016 	2037 	6757 	2896 	1157 	647 	833 	1723 	2009 	2636 
A3100,HD,RO	: 	9 	14 	9 	9 	20 	20 	86 	126 	258 	344 
A3100,HD,RS	: 	: 	326 	315 	284 	87 	223 	100 	44 	57 	: 
A3100,HD,SE	: 	37389 	35564 	36649 	33579 	30766 	28953 	26739 	19666 	20548 	: 
A3100,HD,SI	: 	3099 d	2992 	3252 	3203 	3793 	3648 	3345 	3135 	2798 	2485 
A3100,HD,SK	: 	859 e	1143 	642 	547 	158 	438 	503 	175 	187 	146 
A3100,HD,TR	: 	0 	0 	0 	0 	0 	0 	: 	0 	0 	: 
A3100,HD,UK	: 	: 	: 	33959 	37440 	39100 	31481 	29966 	28315 	30165 	34648 
A3120,HD,AT	: 	: 	7709 	7255 	6249 	6055 	5020 	5743 	5444 	3579 	4370 
A3120,HD,BE	: 	: 	1729 	1213 	1523 	1030 	1079 	606 	562 	773 	710 
A3120,HD,BG	: 	: 	79 	91 	24 	36 	20 	18 	0 	0 	0 
A3120,HD,CH	: 	: 	3339 	3457 	3252 	3006 	2582 	2390 	2498 	2289 	2249 
A3120,HD,CY	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 
A3120,HD,CZ	: 	: 	247 	258 	356 	320 	230 	218 	209 	215 	184 
A3120,HD,DE	: 	: 	22106 	16901 	: 	: 	19250 	: 	: 	: 	: 
A3120,HD,DK	: 	: 	11792 	12661 	14159 	10630 	8180 	6393 	7789 	8406 	8597 
A3120,HD,EE	: 	: 	80 	74 	56 	77 	96 	117 	209 	217 	191 
A3120,HD,EL	: 	: 	1004 	1008 	958 	975 	1005 	1004 	1268 	1460 	1933 
A3120,HD,ES	: 	: 	1558 	2318 	1084 	1102 	2113 	917 	939 	1073 	1427 
A3120,HD,EU	: 	: 	: 	: 	: 	: 	71966 	: 	: 	: 	: 
A3120,HD,EU27_2020	: 	: 	: 	: 	: 	: 	68573 	: 	: 	: 	: 
A3120,HD,EU28	: 	: 	: 	: 	: 	: 	71966 	: 	: 	: 	: 
A3120,HD,FI	: 	: 	880 	671 	721 	783 	975 	981 	1132 	916 	423 
A3120,HD,FR	: 	: 	17357 e	15515 e	12137 	10341 	9085 	8424 	8150 	8042 	7321 
A3120,HD,HR	: 	: 	191 	1055 	1135 	335 	206 	274 	151 	185 	394 
A3120,HD,HU	: 	: 	792 	829 	976 	1022 	993 	829 	410 	593 	649 
A3120,HD,IE	: 	: 	84 	93 	124 	101 	94 	75 	82 	78 	117 
A3120,HD,IS	: 	: 	0 	0 	0 	0 	: 	: 	: 	: 	: 
A3120,HD,IT	: 	: 	14062 	: 	14306 	6518 	9413 	7785 	7154 	7109 	8653 
A3120,HD,LT	: 	: 	26 	16 	17 	37 	29 	38 	39 	68 	85 
A3120,HD,LU	: 	: 	90 	110 	91 	91 	80 	93 	112 	115 	111 
A3120,HD,LV	: 	: 	259 	261 	268 	334 	379 	377 	415 	513 	596 
A3120,HD,ME	: 	: 	0 	0 	0 	0 	0 	: 	: 	: 	: 
A3120,HD,MK	: 	: 	: 	: 	: 	: 	: 	: 	0 	0 	: 
A3120,HD,MT	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	0 
