crops,unit,geo\time	2022 	2021 	2020 	2019 	2018 	2017 	2016 	2015 	2014 	2013 	2012 
C1500,T,CZ	: 	4168 	3464 	3541 	2507 	2316 	2556 	2077 	2280 	2583 	2725 
C1500,T,EE	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 	0 
C1500,T,EL	: 	: 	103929 	88897 	46841 	55679 	42929 	35688 	42779 	32892 	: 
C1500,T,ES	: 	11599 	6268 	7953 	8096 	3819 	6494 	2737 	10390 	3676 	3221 
C1500,T,FI	: 	0 	: 	: 	: n	0 	0 	0 	0 	0 	: 
C1500,T,FR	: 	287840 e	226259 e	181414 	162158 	145041 	82861 	: 	: 	: 	: 
C1500,T,HR	: 	19482 	20602 	24088 	21226 	17295 	18273 	11921 	4286 	3213 	131909 
C1500,T,HU	: 	21857 e	21254 	22940 	28897 	16515 	14522 	11733 	18520 	14218 	11064 
C1500,T,IE	: 	0 n	: 	: 	0 	0 	0 	0 	: 	: 	: 
C1500,T,IS	: 	: 	0 	0 	: 	: 	: 	: 	: 	: 	: 
C1500,T,IT	: 	: 	: 	: 	: 	82693 	53096 	46561 	44062 	: 	71510 
C1500,T,LT	: 	1082 	11073 	3986 	686 	271 	18 	0 	0 	0 	0 
C1500,T,LU	: 	0 	0 	0 	: n	: n	0 	: n	: n	: n	: n
C1500,T,LV	: 	0 	0 	0 	: 	0 	0 	0 	0 	0 	0 
C1500,T,ME	1 	1 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1500,T,MK	: 	376 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1500,T,MT	: 	0 	0 	0 n	0 	0 	0 	0 	0 	: 	: 
C1500,T,NL	: 	817 	833 	696 	1159 	839 	771 e	1286 	1823 	2889 	3080 
C1500,T,NO	: 	: 	0 	: 	: 	: 	: 	: 	0 	0 	: 
C1500,T,PL	: 	35544 	26326 	17031 	10333 	7076 	3209 	2376 	2506 	2213 	845 
C1500,T,RO	: 	140108 	83171 	116971 	76279 	67175 	55405 	86581 	95403 	55476 	40389 
C1500,T,RS	: 	: 	15013 	50170 	12915 	11002 	2533 	9729 	19708 	14854 	: 
C1500,T,SE	: 	0 n	: 	: 	: 	: 	: n	: n	: 	: 	: 
C1500,T,SI	: 	: 	1227 	1109 	1048 	868 	1264 	544 	1006 	586 	654 
C1500,T,SK	: 	9349 e	11530 	9924 	7401 	1444 	4843 	2752 	4315 	7858 	5407 
C1500,T,TR	: 	61210 	46022 	40057 	31356 	25988 	25245 	28030 	15891 	28818 	: 
C1500,T,UK	: 	: 	: 	: 	: 	0 n	0 n	: n	0 n	14880 	: 
C1600,T,BG	628 	1424 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1600,T,CY	: 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1600,T,CZ	: 	12640 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1600,T,EE	241 	600 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1600,T,ES	: 	11185 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1600,T,FI	: 	1500 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1600,T,FR	: 	73489 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1600,T,LT	: 	12283 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1600,T,LU	: 	352 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1600,T,LV	: 	1435 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1600,T,ME	0 	0 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1600,T,MK	: 	50 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1600,T,NL	: 	1658 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1600,T,RO	: 	909 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1600,T,SE	: 	13500 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1600,T,SK	: 	6467 e	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1600,T,TR	: 	6925 	: 	: 	: 	: 	: 	: 	: 	: 	: 
C1600_1700_1900,T,BE	: 	: 	18127 	18397 	18193 	17860 	9865 	: 	: 	: 	: 
C1600_1700_1900,T,BG	: 	: 	2525 	4240 	2856 	1714 	852 	142 	880 	330 	: 
C1600_1700_1900,T,CY	: 	: 	0 	0 	0 	0 	0 	0 	0 	0 	: 
C1600_1700_1900,T,CZ	: 	: 	12472 	12526 	12285 	10673 	10487 	11818 	11784 	11815 	10554 
C1600_1700_1900,T,EE	: 	: 	2646 	909 	800 	1787 	1926 	1479 	787 	1190 	917 
C1600_1700_1900,T,EL	: 	: 	2954 	4199 	2717 	4798 	6420 	12168 	9989 	10208 	: 
C1600_1700_1900,T,ES	: 	: 	40543 	43296 	42932 	17351 	17906 	20045 	20388 	17066 	18251 
