firmid,operprofit20,ros20,allemp19,parttimeratio19,select19,traintime19,pm19,incentive19,union19,laborconflict19,innovation_strat19,turnover19,newturnover19
215,30147285,25.55,218,0.009174312,3,42,2,120,0,2,0,0.032407407,0.111111111
216,541676,0.59,256,0,2,48,1,500,0,2,0,0,0.234375
217,247804,0.29,293,0.013651877,4,16,2,18,1,1,0,0.024221453,0.024221453
218,-2873882,-6.99,215,0,2,30,0,0,0,3,0,0.009302326,0.051162791
219,2743362,6.26,120,0,3,10,3,100,0,2,1,0.05,0.016666667
220,25366205,41.36,129,0.100775194,3,5,3,105,0,1,0,0.043103448,0
221,28773071,21.85,228,0.293859649,3,18,2,10,0,3,1,0.124223602,0.01863354
222,39206618,20.47,106,0.113207547,3,22,1,200,0,3,0,0.234042553,0.063829787
223,3379071,6.02,152,0.026315789,3,40,4,60,1,2,1,0.02027027,0
224,136668,0.24,121,0.223140496,4,8,3,5,1,2,0,0.031914894,0.021276596
225,-448930,-2.6,216,0.00462963,2,5,1,124,0,1,0,0.013953488,0.065116279
226,3287596,9.08,153,0,3,2,3,0,0,2,0,0.065359477,0.065359477
227,5219424,5.65,159,0.094339623,4,7,1,100,1,1,1,0.048611111,0.020833333
228,9497672,15.14,115,0.104347826,4,30,4,100,0,2,0,0.165048544,0
229,4557261,12.32,349,0.214899713,4,45,2,10,0,3,0,0.054744526,0
230,444827,2.19,123,0.146341463,3,4,3,10,0,2,0,0.380952381,0
231,41540476,41.7,135,0,3,7,3,20,0,1,0,0,0.007407407
232,243520677,24.46,1309,0.233766234,8,16,5,120,0,1,0,0.112662014,0.053838485
233,4835812,9.96,165,0.03030303,3,32,1,100,1,3,0,0.04375,0
234,-10765064,-28.73,104,0.028846154,3,20,5,0,0,3,0,0.198019802,0.00990099
235,11952275,5.08,397,0.186397985,2,48,3,100,0,1,0,0.06501548,0.068111455
236,-4472261,-2.47,533,0.041275797,3,24,2,200,0,1,0,0.062622309,0.046966732
237,1306536,6.35,185,0.172972973,4,16,1,0,0,3,0,0.150326797,0.032679739
238,-1160686,-4.37,188,0,2,72,1,250,0,2,0,0.005319149,0
239,44849221,3.11,1391,0.003594536,4,38,3,53,1,2,0,0.023088023,0.001443001
240,10604825,5.48,120,0,3,31,0,70,1,2,0,0.058333333,0
241,-666965,-1.79,180,0,4,21,2,30,0,3,0,0.016666667,0.038888889
242,-914360,-0.77,353,0,3,31,2,500,0,2,0,0.065155807,0.082152975
243,8054940,3.31,297,0,5,50,0,80,0,3,0,0.003367003,0.026936027
244,612129,1.78,480,0.041666667,3,76,4,10,0,3,1,0.173913043,0.173913043
245,-21021457,-7.89,835,0.062275449,4,40,2,8,0,2,0,0.025542784,0.028097063
246,3627432,3.93,311,0.180064309,4,5,3,250,0,3,1,0.015686275,0.007843137
247,1858841,2.2,159,0.006289308,4,39,4,150,1,3,0,0.006329114,0.006329114
248,36185564,18.86,608,0,6,36,4,100,0,2,0,0,0.016447368
249,773702542,20.12,811,0.297163995,3,7,3,350,0,1,1,0.087719298,0.028070175
250,-10947333,-4.4,586,0.110921502,3,38,3,200,0,2,1,0.053742802,0.007677543
251,-19412562,-71.18,155,0,3,16,4,0,0,2,0,0,0.032258065
252,3881559,5.96,160,0,3,57,2,300,0,2,0,0.20625,0.00625
253,12790000,7.16,270,0,3,12,3,106,1,2,0,0.044444444,0.003703704
254,2317952,10.01,124,0,4,16,3,50,0,3,0,0.10483871,0.040322581
255,-282912,-3.02,104,0.009615385,3,2,0,0,0,3,1,0.223300971,0
256,-3040867,-15.06,140,0,3,40,0,160,0,3,0,0.021428571,0.071428571
257,3662502,1.75,128,0,4,20,6,50,0,2,0,0.0078125,0.015625
258,3403799,10.16,258,0.007751938,6,10,5,100,0,2,0,0,0
259,935420,2.54,565,0.012389381,4,30,4,165,0,3,0,0.379928315,0.170250896
260,37517077,13.17,472,0.06779661,5,16,3,200,1,1,1,0.052272727,0.002272727
261,32115780,34.39,113,0.017699115,4,11,3,60,0,3,0,0,0.009009009
262,70385637,40.9,145,0.034482759,2,70,3,20,0,1,0,0.185714286,0.071428571
263,-20158564,-13.42,801,0.087390762,5,30,3,2,0,2,0,0.228454172,0.010943912
264,23637,0.1,369,0.013550136,3,16,3,10,0,2,0,0.192307692,0.068681319
265,-1947785,-4.8,244,0.008196721,3,25,1,100,0,1,0,0.066115702,0.05785124
266,11715365,4.9,176,0,4,34,2,100,0,3,0,0.085227273,0.017045455
267,-3954999,-2.85,283,0,4,64,3,20,0,3,1,0.010600707,0.268551237
268,1370024,4.25,138,0.108695652,3,11,5,155,1,1,1,0.032520325,0.024390244
269,208879,0.7,160,0,3,8,3,5,0,3,0,0.06875,0.025
270,12076008,31.56,133,0.090225564,3,66,4,100,0,2,1,0.123966942,0.198347107
271,2467607,13.22,145,0,4,5,2,100,0,2,0,0.137931034,0
272,70844,1.56,145,0,2,20,0,200,0,3,0,0.103448276,0.062068966
273,61015849,47.94,333,0.045045045,4,28,1,100,0,2,0,0.040880503,0.040880503
274,11517917,5.42,517,0.058027079,5,3,1,10,0,2,1,0.061601643,0.008213552
275,-4152052,-1.36,785,0.101910828,4,37,4,110,0,1,0,0.005673759,0.028368794
276,-30845117,-14.32,530,0,2,15,3,110,0,3,1,0.028301887,0.024528302
277,9452488,7.85,383,0.127937337,3,100,0,0,0,3,1,0.134730539,0.065868263
278,115964232,7.4,1824,0.015899123,6,60,3,200,1,1,1,0.049582173,0.008913649
279,22578230,14.03,662,0.045317221,4,16,3,0,0,3,0,0.199367089,0.030063291
280,7362354,1.16,414,0.289855072,4,29,1,150,1,1,0,0.010204082,0
281,2365836,6.6,300,0,3,56,3,50,0,2,0,0.1,0.016666667
282,11010102,3.61,2151,0.022315202,4,55,5,130,0,2,0,0.077983833,0.001902045
283,11084321,4.36,511,0.090019569,4,18,5,100,0,2,0,0.094623656,0.017204301
284,-28748305,-10.32,338,0,5,40,6,20,1,4,0,0.00295858,0.00591716
285,2841604,3.78,645,0.257364341,2,30,2,20,1,4,0,0.073068894,0.020876827
286,77981289,7.57,2550,0,4,48,3,160,0,2,1,0.015686275,0.007843137
287,2085257,0.42,1331,0.022539444,5,27,1,10,1,3,1,0.038431975,0.008455035
288,16716891,6.81,1534,0.021512386,2,50,2,50,0,1,0,0.070619587,0.101932045
289,4080104,2.67,959,0,2,27,5,160,0,2,1,0.116788321,0.020855057
290,9939988,1.45,1211,0,3,4,0,0,0,3,0,0,0.047894302
291,425003745,7.43,2614,0.042463657,4,18,4,100,1,2,0,0.026368358,0.00719137
292,5823136,4.7,965,0,4,20,3,80,0,1,0,0,0.271502591
293,4125890,5.64,126,0.015873016,2,4,2,200,1,4,0,0.016129032,0
294,40464839,53.34,201,0,3,15,4,100,0,2,0,0.373134328,0.194029851
295,527918,2.66,274,0,4,8,5,30,0,2,1,0.200729927,0.098540146
296,575923,1.1,250,0,2,38,2,130,0,1,0,0.224,0.02
297,544840,0.78,148,0,2,40,0,60,0,1,0,0.162162162,0.175675676
298,2010250,11.46,101,0.00990099,3,4,3,120,0,3,1,0.05,0.08
299,34847828,16.97,129,0,3,10,0,100,0,1,0,0.046511628,0.085271318
300,414653,0.43,190,0.010526316,3,20,3,0,1,2,1,0,0.005319149
301,1931745,7.98,174,0.051724138,3,48,6,0,0,1,0,0.03030303,0.248484848
302,-20906657,-21.4,171,0.035087719,3,40,3,0,0,3,0,0.084848485,0.048484848
303,13854390,38,211,0,5,5,4,0,0,3,1,0.194312796,0.056872038
304,3994881,2.78,292,0.068493151,2,4,3,10,0,2,0,0.172794118,0.047794118
305,1192111,6.03,230,0,3,3,1,50,0,2,0,0.252173913,0.086956522
306,94605,0.55,154,0,4,40,5,20,0,2,0,0.188311688,0.058441558
307,8093162,8.85,247,0,3,12,2,100,1,2,0,0.417004049,0.004048583
308,5374731,8.21,120,0,3,30,5,100,0,2,0,0,0
309,5316873,4.14,135,0.103703704,4,28,6,100,0,2,0,0,0
310,545752,0.66,138,0,3,2,0,0,0,2,0,0.072463768,0.108695652
311,-1261647,-3.42,146,0.226027397,2,8,3,0,0,3,1,0.371681416,0
312,1809429,7.84,123,0.073170732,3,21,6,30,0,1,1,0.070175439,0.219298246
313,6133954,7.6,292,0,2,5,0,70,0,3,0,0.085616438,0.239726027
314,-20011147,-13.13,243,0,5,11,3,80,0,4,0,0.135802469,0.012345679
315,3980407,1.22,266,0.090225564,4,25,3,100,1,1,1,0.111570248,0
316,1200917,9.67,132,0.045454545,3,30,3,10,0,2,0,0.103174603,0.007936508
317,1932109,5.47,123,0.016260163,3,19,4,0,0,3,0,0.008264463,0.049586777
318,1777257,6.01,112,0.1875,3,9,3,100,1,3,0,0.164835165,0
319,640816,2.64,117,0,3,12,2,0,0,2,0,0.111111111,0.179487179
